location,bedroom number,bathroom number,size,rent price
"Section 12, Mirpur",3,3,1250 sqft,"৳25,000"
"Section 1, Mirpur",3,2,1300 sqft,"৳30,000"
"Section 2, Mirpur",3,3,1250 sqft,"৳26,000"
"Sector 12, Uttara",3,4,2290 sqft,"৳55,000"
"Gulshan 1, Gulshan",3,3,2350 sqft,"৳160,000"
Badda,2,2,1100 sqft,"৳35,000"
"Nobodoy Housing Society, Mohammadpur",3,3,1250 sqft,"৳20,000"
"Dhaka Housing Main Road, Shyamoli",3,3,1200 sqft,"৳20,000"
"Block J, Bashundhara R-A",3,3,2000 sqft,"৳36,000"
"Gulshan 1, Gulshan",3,4,3100 sqft,"৳120,000"
"Gulshan 2, Gulshan",3,3,2300 sqft,"৳130,000"
"Kazi Nazrul Islam Avenue, Banglamotors",2,3,1650 sqft,"৳30,000"
"North Adabor, Adabor",3,3,1400 sqft,"৳22,000"
"Gulshan 1, Gulshan",4,4,2440 sqft,"৳150,000"
"Gulshan 2, Gulshan",4,4,3600 sqft,"৳160,000"
"Shahjadpur, Badda",3,3,1370 sqft,"৳35,000"
"PC Culture Housing, Mohammadpur",2,2,750 sqft,"৳20,000"
"Sector 14, Uttara",2,2,1200 sqft,"৳100,000"
"Block D, Bashundhara R-A",2,2,1200 sqft,"৳60,000"
"Block F, Aftab Nagar",3,3,1450 sqft,"৳25,000"
"Gajanabi Road, Mohammadpur",3,4,1750 sqft,"৳40,000"
"Sector 12, Uttara",4,4,2385 sqft,"৳70,000"
"Shukrabad, Dhanmondi",3,2,1250 sqft,"৳30,000"
"Sher-E-Bangla Road, Hazaribag",3,3,1900 sqft,"৳40,000"
"Gulshan 2, Gulshan",3,3,2000 sqft,"৳100,000"
"Block D, Bashundhara R-A",3,3,1300 sqft,"৳40,000"
"Sector 6, Uttara",3,3,2500 sqft,"৳110,000"
